Fecha,Nombre Embalse,Volumen Útil Diario Energía kWh,Volumen Máximo Util Gwh
2017-01-17,PUNCHINA,36281900,65.12
2017-01-17,RIOGRANDE2,449443300,560.59
2017-01-17,SAN LORENZO,420586200,422.91
2017-01-17,TRONERAS,44567600,71
2017-01-17,URRA1,143129400,158.45
2017-01-17,AGREGADO BOGOTA,1519821800,3763.5
2017-01-17,BETANIA,89083300,124.66
2017-01-17,EL QUIMBO,638811200,1113.81
2017-01-17,MUNA,47072800,57.6
2017-01-17,PRADO,57308100,57.2
2017-01-17,TOPOCORO,929762600,1003.3
2017-01-17,CHUZA,825888000,980.6
2017-01-17,ESMERALDA,845316400,1112.97
2017-01-17,GUAVIO,1477585200,2091.46
2017-01-17,ALTOANCHICAYA,19889900,36.88
2017-01-17,CALIMA1,143045700,217.04
2017-01-17,SALVAJINA,152875600,171.82
2017-01-18,AMANI,230153100,246.13
2017-01-18,MIRAFLORES,278580500,313.1
2017-01-18,PENOL,3500434800,4078.46
2017-01-18,PLAYAS,99031900,96.35
2017-01-18,PORCE II,75546400,130.14
2017-01-18,PORCE III,93907300,117.29
2017-01-18,PUNCHINA,32368500,65.12
2017-01-18,RIOGRANDE2,456757300,560.59
2017-01-18,SAN LORENZO,413069600,422.91
2017-01-18,TRONERAS,51262200,71
2017-01-18,URRA1,142276700,158.45
2017-01-18,AGREGADO BOGOTA,1521024900,3763.5
2017-01-18,BETANIA,89338800,124.66
2017-01-18,EL QUIMBO,646105600,1113.81
2017-01-18,MUNA,45295600,57.6
2017-01-18,PRADO,57308100,57.2
2017-01-18,TOPOCORO,924149000,1003.3
2017-01-18,CHUZA,822488600,980.6
2017-01-18,ESMERALDA,837665200,1112.97
2017-01-18,GUAVIO,1470890100,2091.46
2017-01-18,ALTOANCHICAYA,28151700,36.88
2017-01-18,CALIMA1,143786400,217.04
2017-01-18,SALVAJINA,152820900,171.82
2017-01-19,AMANI,225459600,246.13
2017-01-19,MIRAFLORES,279008700,313.1
2017-01-19,PENOL,3509522100,4078.46
2017-01-19,PLAYAS,99922800,96.35
2017-01-19,PORCE II,82497000,130.14
2017-01-19,PORCE III,81460200,117.29
2017-01-19,PUNCHINA,34385900,65.12
2017-01-19,RIOGRANDE2,462377200,560.59
2017-01-19,SAN LORENZO,402098000,422.91
2017-01-19,TRONERAS,42084700,71
2017-01-19,URRA1,141542700,158.45
2017-01-19,AGREGADO BOGOTA,1521886100,3763.5
2017-01-19,BETANIA,98829900,124.66
2017-01-19,EL QUIMBO,653982200,1113.81
2017-01-19,MUNA,51082800,57.6
2017-01-19,PRADO,57308100,57.2
2017-01-19,TOPOCORO,914172100,1003.3
2017-01-19,CHUZA,819339700,980.6
2017-01-19,ESMERALDA,828652500,1112.97
2017-01-19,GUAVIO,1465372200,2091.46
2017-01-19,ALTOANCHICAYA,26536300,36.88
2017-01-19,CALIMA1,144340700,217.04
2017-01-19,SALVAJINA,153310400,171.82
2017-01-20,AMANI,227606200,246.13
2017-01-20,MIRAFLORES,280069600,313.1
2017-01-20,PENOL,3513117900,4078.46
2017-01-20,PLAYAS,99552400,96.35
2017-01-20,PORCE II,92692300,130.14
2017-01-20,PORCE III,68885900,117.29
2017-01-20,PUNCHINA,26544000,65.12
2017-01-20,RIOGRANDE2,467565400,560.59
2017-01-20,SAN LORENZO,398036400,422.91
2017-01-20,TRONERAS,38218200,71
2017-01-20,URRA1,140648700,158.45
2017-01-20,AGREGADO BOGOTA,1522241600,3763.5
2017-01-20,BETANIA,102176200,124.66
2017-01-20,EL QUIMBO,660107800,1113.81
2017-01-20,MUNA,48941100,57.6
2017-01-20,PRADO,57308100,57.2
2017-01-20,TOPOCORO,909316000,1003.3
2017-01-20,CHUZA,816920000,980.6
2017-01-20,ESMERALDA,820905400,1112.97
2017-01-20,GUAVIO,1448314300,2091.46
2017-01-20,ALTOANCHICAYA,27214500,36.88
2017-01-20,CALIMA1,145086600,217.04
2017-01-20,SALVAJINA,153094400,171.82
2017-01-21,AMANI,223518800,246.13
2017-01-21,MIRAFLORES,280711900,313.1
2017-01-21,PENOL,3508749200,4078.46
2017-01-21,PLAYAS,95955400,96.35
2017-01-21,PORCE II,77634700,130.14
2017-01-21,PORCE III,87208200,117.29
2017-01-21,PUNCHINA,42576600,65.12
2017-01-21,RIOGRANDE2,461586900,560.59
2017-01-21,SAN LORENZO,392919900,422.91
2017-01-21,TRONERAS,36898400,71
2017-01-21,URRA1,139816700,158.45
2017-01-21,AGREGADO BOGOTA,1521225400,3763.5
2017-01-21,BETANIA,98645800,124.66
2017-01-21,EL QUIMBO,694566500,1113.81
2017-01-21,MUNA,41741200,57.6
2017-01-21,PRADO,57308100,57.2
2017-01-21,TOPOCORO,902771000,1003.3
2017-01-21,CHUZA,814504900,980.6
2017-01-21,ESMERALDA,811202300,1112.97
2017-01-21,GUAVIO,1432229200,2091.46
2017-01-21,ALTOANCHICAYA,36845000,36.88
2017-01-21,CALIMA1,145827400,217.04
2017-01-21,SALVAJINA,157639900,171.82
2017-01-22,AMANI,225654300,246.13
2017-01-22,MIRAFLORES,281140100,313.1
2017-01-22,PENOL,3493328600,4078.46
2017-01-22,PLAYAS,100203600,96.35
2017-01-22,PORCE II,88975600,130.14
2017-01-22,PORCE III,70636900,117.29
2017-01-22,PUNCHINA,32338200,65.12
2017-01-22,RIOGRANDE2,454218100,560.59
2017-01-22,SAN LORENZO,397772700,422.91
2017-01-22,TRONERAS,41269900,71
2017-01-22,URRA1,139307100,158.45
2017-01-22,AGREGADO BOGOTA,1520277500,3763.5
2017-01-22,BETANIA,102552700,124.66
2017-01-22,EL QUIMBO,710685700,1113.81
2017-01-22,MUNA,48622100,57.6
2017-01-22,PRADO,57308100,57.2
2017-01-22,TOPOCORO,904709900,1003.3
2017-01-22,CHUZA,811369700,980.6
2017-01-22,ESMERALDA,801806100,1112.97
2017-01-22,GUAVIO,1418523000,2091.46
2017-01-22,ALTOANCHICAYA,33639000,36.88
2017-01-22,CALIMA1,146293600,217.04
2017-01-22,SALVAJINA,159680200,171.82
2017-01-23,AMANI,219709500,246.13
