Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW)
2017-01-29,JAGUAS,106,170
2017-01-29,LA TASAJERA,198,306
2017-01-29,MIEL I,61.00001,396
2017-01-29,PAGUA,57.24605,600
2017-01-29,PLAYAS,57.24604,207
2017-01-29,PORCE II,106.00001,405
2017-01-29,PORCE III,197,700
2017-01-29,PRADO,57.24601,51
2017-01-29,SALVAJINA,195,315
2017-01-29,SAN CARLOS,188,1240
2017-01-29,SOGAMOSO,105,819
2017-01-29,URRA,57.205,338
2017-01-30,ALBAN,140,429
2017-01-30,BETANIA,80,540
2017-01-30,CALIMA,220,132
2017-01-30,CHIVOR,57.24606,1000
2017-01-30,EL QUIMBO,57.24607,400
2017-01-30,GUATAPE,57.24605,560
2017-01-30,GUATRON,195.00001,512
2017-01-30,GUAVIO,57.24601,1250
2017-01-30,JAGUAS,203,170
2017-01-30,LA TASAJERA,57.24603,306
2017-01-30,MIEL I,202,396
2017-01-30,PAGUA,140.1,600
2017-01-30,PLAYAS,57.24604,207
2017-01-30,PORCE II,57.24602,405
2017-01-30,PORCE III,100,700
2017-01-30,PRADO,57.246,51
2017-01-30,SALVAJINA,195,315
2017-01-30,SAN CARLOS,106.5,1240
2017-01-30,SOGAMOSO,168,819
2017-01-30,URRA,57.205,338
2017-01-31,ALBAN,120,429
2017-01-31,BETANIA,57.24606,540
2017-01-31,CALIMA,220,132
2017-01-31,CHIVOR,57.24602,1000
2017-01-31,EL QUIMBO,57.24604,400
2017-01-31,GUATAPE,57.24603,560
2017-01-31,GUATRON,195.00001,512
2017-01-31,GUAVIO,114.3,1250
2017-01-31,JAGUAS,191,170
2017-01-31,LA TASAJERA,57.24601,306
2017-01-31,MIEL I,190,396
2017-01-31,PAGUA,82,600
2017-01-31,PLAYAS,57.246,207
2017-01-31,PORCE II,196,405
2017-01-31,PORCE III,75,700
2017-01-31,PRADO,57.24605,51
2017-01-31,SALVAJINA,195,315
2017-01-31,SAN CARLOS,61,1240
2017-01-31,SOGAMOSO,138,819
2017-01-31,URRA,57.205,338
2017-02-01,ALBAN,110,429
2017-02-01,BETANIA,125.3,540
2017-02-01,CALIMA,220,132
2017-02-01,CHIVOR,57.47608,1000
2017-02-01,EL QUIMBO,57.47603,400
2017-02-01,GUATAPE,57.47604,560
2017-02-01,GUATRON,57.47602,512
2017-02-01,GUAVIO,81,1250
2017-02-01,JAGUAS,191,170
2017-02-01,LA TASAJERA,57.47601,306
2017-02-01,MIEL I,190,396
2017-02-01,PAGUA,57.47606,600
2017-02-01,PLAYAS,57.476,207
2017-02-01,PORCE II,196,405
2017-02-01,PORCE III,75,700
2017-02-01,PRADO,57.47607,51
2017-02-01,SALVAJINA,195,315
2017-02-01,SAN CARLOS,57.47609,1240
2017-02-01,SOGAMOSO,119,819
2017-02-01,URRA,57.47605,338
2017-02-02,ALBAN,123,429
2017-02-02,BETANIA,140,540
2017-02-02,CALIMA,220,132
2017-02-02,CHIVOR,57.47603,1000
2017-02-02,EL QUIMBO,57.47602,400
2017-02-02,GUATAPE,57.47609,560
2017-02-02,GUATRON,57.47605,512
2017-02-02,GUAVIO,80.5,1250
2017-02-02,JAGUAS,57.47604,170
2017-02-02,LA TASAJERA,57.476,306
2017-02-02,MIEL I,79,396
2017-02-02,PAGUA,57.47608,600
2017-02-02,PLAYAS,57.47606,207
2017-02-02,PORCE II,75,405
2017-02-02,PORCE III,196,700
2017-02-02,PRADO,57.47601,51
2017-02-02,SALVAJINA,201,315
2017-02-02,SAN CARLOS,74.8,1240
2017-02-02,SOGAMOSO,109,819
2017-02-02,URRA,57.47607,338
2017-02-03,ALBAN,121,429
2017-02-03,BETANIA,57.47604,540
2017-02-03,CALIMA,220,132
2017-02-03,CHIVOR,57.47605,1000
2017-02-03,EL QUIMBO,57.47607,400
2017-02-03,GUATAPE,57.47603,560
2017-02-03,GUATRON,110,512
2017-02-03,GUAVIO,80,1250
2017-02-03,JAGUAS,81,170
2017-02-03,LA TASAJERA,57.476,306
2017-02-03,MIEL I,105,396
2017-02-03,PAGUA,197,600
2017-02-03,PLAYAS,57.47601,207
2017-02-03,PORCE II,196,405
2017-02-03,PORCE III,75,700
2017-02-03,PRADO,57.47602,51
2017-02-03,SALVAJINA,201,315
2017-02-03,SAN CARLOS,74.1,1240
2017-02-03,SOGAMOSO,120,819
2017-02-03,URRA,57.47606,338
2017-02-04,ALBAN,180,429
2017-02-04,BETANIA,57.47603,540
2017-02-04,CALIMA,220,132
2017-02-04,CHIVOR,57.47606,1000
2017-02-04,EL QUIMBO,57.476,400
2017-02-04,GUATAPE,57.47604,560
2017-02-04,GUATRON,110,512
2017-02-04,GUAVIO,80,1250
2017-02-04,JAGUAS,105,170
2017-02-04,LA TASAJERA,57.47601,306
2017-02-04,MIEL I,80.5,396
2017-02-04,PAGUA,197,600
2017-02-04,PLAYAS,57.47602,207
2017-02-04,PORCE II,75,405
2017-02-04,PORCE III,196,700
2017-02-04,PRADO,57.47607,51
2017-02-04,SALVAJINA,201,315
2017-02-04,SAN CARLOS,109.5,1240
2017-02-04,SOGAMOSO,69.5,819
2017-02-04,URRA,57.47605,338
2017-02-05,ALBAN,180,429
2017-02-05,BETANIA,57.47604,540
2017-02-05,CALIMA,220,132
2017-02-05,CHIVOR,57.47602,1000
2017-02-05,EL QUIMBO,140,400
